User_ID,User_Name,Join_Date,Last_Login,Monthly_Price,Watch_Hours,Favorite_Genre,Active_Devices,Profile_Count,Parental_Controls,Total_Movies_Watched,Total_Series_Watched,Country,Payment_Method,Language_Preference,Recommended_Content_Count,Average_Rating_Given,Has_Downloaded_Content,Membership_Status,Loyalty_Points,First_Device_Used,Age_Group,Primary_Watch_Time
9710,Charles,06-02-2023,27-11-2024,7.99,441,Romance,1,5,NO,228,39,Germany,PayPal,Mandarin,50,3.1,YES,Cancelled,1159,Desktop,35-44,Morning
9034,William,20-09-2023,18-12-2024,15.99,224,Comedy,1,5,YES,827,138,Canada,Debit Card,Mandarin,11,4.5,YES,Cancelled,4673,Tablet,18-24,Afternoon
6197,Tiffany,07-03-2023,28-11-2024,15.99,44,Action,2,4,NO,983,145,India,PayPal,French,78,3,NO,Cancelled,4200,Laptop,45-54,Evening
2820,Mark,15-07-2023,12-01-2024,7.99,202,Drama,1,5,YES,109,41,USA,Cryptocurrency,Spanish,42,4.6,NO,Cancelled,3607,Desktop,35-44,Late Night
1101,Mary,13-06-2024,23-11-2024,15.99,39,Horror,2,3,YES,181,128,Australia,PayPal,Mandarin,3,4.5,YES,Paused,4602,Smart TV,55+,Evening
1650,Charles,25-08-2024,23-11-2024,15.99,319,Romance,2,2,NO,842,145,France,Cryptocurrency,Mandarin,27,3.6,YES,Paused,256,Smart TV,35-44,Afternoon
4884,Anne,19-11-2023,25-11-2024,15.99,150,Sci-Fi,3,3,YES,40,196,Canada,Debit Card,German,60,3.7,NO,Expired,2406,Laptop,55+,Evening
8321,Carol,22-09-2023,23-11-2024,11.99,496,Romance,3,1,YES,431,41,India,Credit Card,English,91,4,YES,Paused,1394,Smart TV,55+,Afternoon
2381,Cynthia,15-05-2024,15-12-2024,7.99,347,Horror,2,5,NO,415,194,USA,Credit Card,German,76,4.3,YES,Cancelled,1856,Desktop,18-24,Afternoon
9507,Destiny,19-06-2023,19-11-2024,11.99,201,Action,1,6,YES,902,86,USA,Cryptocurrency,French,69,4.9,YES,Active,1665,Smart TV,18-24,Afternoon
2851,Brittany,22-05-2024,23-11-2024,15.99,415,Romance,3,5,YES,769,144,Australia,Cryptocurrency,Spanish,98,3.9,NO,Cancelled,2759,Tablet,35-44,Evening
4083,Amy,30-01-2024,12-10-2024,11.99,32,Horror,1,4,YES,588,137,France,Credit Card,English,85,3.7,YES,Cancelled,3433,Laptop,35-44,Afternoon
4608,Kimberly,28-03-2024,28-11-2024,11.99,338,Comedy,3,2,YES,528,184,UK,Cryptocurrency,Spanish,58,3.7,YES,Cancelled,3966,Desktop,55+,Late Night
4815,Ariel,07-02-2024,20-11-2024,7.99,52,Documentary,5,5,NO,467,23,USA,PayPal,Spanish,97,3.3,YES,Paused,4185,Desktop,55+,Evening
9597,Lauren,12-06-2024,12-02-2024,11.99,447,Romance,5,5,NO,73,138,Germany,Debit Card,Hindi,84,4.1,NO,Expired,784,Smartphone,25-34,Afternoon
6566,Joshua,22-06-2023,17-12-2024,11.99,312,Horror,5,1,YES,895,154,Germany,Debit Card,Spanish,85,4.7,YES,Expired,3428,Laptop,25-34,Evening
1419,Megan,07-03-2023,16-12-2024,11.99,406,Sci-Fi,2,6,NO,983,113,India,Cryptocurrency,German,78,3.1,NO,Paused,4245,Smartphone,25-34,Evening
9470,Stephanie,28-11-2023,15-12-2024,7.99,350,Horror,3,6,YES,801,156,France,Credit Card,Mandarin,66,4.6,YES,Paused,2580,Smart TV,18-24,Late Night
4989,Terrence,01-10-2024,12-10-2024,7.99,99,Comedy,2,5,YES,96,114,USA,PayPal,Hindi,45,4.3,NO,Cancelled,2779,Smart TV,55+,Morning
9389,Julia,10-03-2024,21-11-2024,15.99,53,Sci-Fi,1,2,NO,849,98,India,Credit Card,Mandarin,14,3.1,NO,Active,2318,Smartphone,35-44,Evening
7728,Derrick,15-09-2023,13-12-2024,11.99,484,Romance,3,6,NO,515,174,UK,PayPal,German,12,4,YES,Cancelled,827,Smartphone,25-34,Morning
7943,Nathan,10-01-2024,12-01-2024,15.99,211,Documentary,2,6,YES,657,137,Australia,Credit Card,Hindi,26,4,YES,Active,2670,Desktop,18-24,Late Night
2490,Matthew,18-08-2023,19-11-2024,11.99,248,Sci-Fi,4,1,YES,426,21,India,Debit Card,Spanish,99,4.8,NO,Expired,2409,Smartphone,35-44,Late Night
5042,Ashley,16-02-2024,23-11-2024,15.99,197,Romance,4,2,NO,309,178,Australia,Cryptocurrency,Mandarin,7,4.3,NO,Paused,1577,Smart TV,35-44,Evening
3620,Kerri,08-07-2024,12-07-2024,15.99,253,Comedy,5,5,YES,141,199,USA,Debit Card,French,72,3.1,NO,Expired,4072,Laptop,45-54,Afternoon
8976,Jessica,17-09-2024,12-12-2024,7.99,352,Romance,4,3,YES,112,106,France,Credit Card,French,33,4.6,YES,Paused,3432,Tablet,45-54,Afternoon
1570,Matthew,18-07-2023,22-11-2024,11.99,97,Romance,1,2,NO,836,122,UK,Debit Card,Spanish,65,4.3,YES,Paused,4511,Smartphone,18-24,Morning
7709,Phillip,04-04-2023,12-01-2024,11.99,283,Sci-Fi,5,2,NO,785,1,Australia,Debit Card,German,79,3.4,YES,Expired,583,Tablet,25-34,Evening
9503,Elizabeth,04-11-2024,12-05-2024,11.99,307,Documentary,5,6,NO,857,9,France,Cryptocurrency,Hindi,55,3.2,YES,Active,3626,Laptop,35-44,Late Night
9564,Lisa,26-04-2023,12-04-2024,15.99,203,Comedy,5,1,NO,347,18,Australia,Cryptocurrency,Spanish,8,4.4,YES,Active,476,Laptop,45-54,Afternoon
8934,Natalie,25-03-2023,12-05-2024,7.99,22,Drama,4,3,NO,707,156,Canada,Cryptocurrency,Spanish,99,3.3,NO,Active,4114,Desktop,18-24,Evening
1222,Autumn,09-01-2023,12-08-2024,15.99,382,Romance,2,2,NO,49,45,Canada,PayPal,Hindi,63,4,YES,Paused,1581,Smart TV,35-44,Morning
5762,James,28-03-2024,12-02-2024,11.99,302,Comedy,5,4,NO,801,141,France,Debit Card,Mandarin,62,3.5,YES,Active,1293,Laptop,45-54,Morning
4066,Jessica,26-03-2023,12-12-2024,11.99,76,Sci-Fi,2,3,NO,788,55,UK,Credit Card,German,50,4.8,YES,Active,1744,Laptop,18-24,Morning
6469,Charles,18-06-2024,24-11-2024,11.99,125,Documentary,3,6,YES,853,16,Australia,PayPal,German,65,4.8,YES,Active,448,Laptop,18-24,Late Night
1364,Michael,27-07-2023,12-02-2024,11.99,113,Horror,1,1,NO,970,159,UK,Credit Card,German,96,4.9,YES,Paused,3398,Laptop,35-44,Late Night
4197,Jessica,31-10-2024,13-12-2024,15.99,183,Romance,3,5,NO,490,127,Canada,Debit Card,Hindi,40,4.6,YES,Cancelled,4691,Desktop,45-54,Morning
9700,Molly,26-12-2022,30-11-2024,15.99,272,Documentary,5,1,NO,201,122,India,Cryptocurrency,English,94,4.6,YES,Expired,4674,Laptop,45-54,Afternoon
5644,Joshua,04-06-2024,12-03-2024,11.99,19,Comedy,4,2,YES,741,36,France,PayPal,English,13,4.4,NO,Cancelled,3641,Tablet,18-24,Afternoon
5420,Lance,31-12-2022,12-01-2024,11.99,204,Drama,4,6,NO,928,30,India,Credit Card,Mandarin,58,4.4,NO,Expired,1765,Smartphone,45-54,Late Night
7560,Lori,24-12-2022,12-03-2024,7.99,345,Horror,3,3,NO,80,100,USA,Credit Card,Hindi,40,4.9,YES,Paused,3462,Smartphone,55+,Morning
9644,Mark,09-08-2024,25-11-2024,7.99,294,Comedy,4,1,YES,453,149,France,PayPal,Hindi,82,3.9,YES,Cancelled,790,Desktop,18-24,Morning
7239,Jeremy,19-12-2023,29-11-2024,15.99,318,Action,3,2,YES,943,116,Canada,PayPal,Hindi,22,4.1,NO,Expired,4732,Laptop,25-34,Afternoon
6415,Scott,10-12-2023,19-11-2024,11.99,396,Action,1,2,NO,348,172,UK,Cryptocurrency,Hindi,61,3.9,NO,Active,4599,Smartphone,35-44,Afternoon
9020,Sabrina,02-03-2023,12-03-2024,11.99,455,Horror,5,3,YES,112,158,India,Credit Card,German,15,3.9,YES,Paused,965,Smart TV,25-34,Morning
2324,Zachary,24-11-2024,12-11-2024,7.99,175,Comedy,5,6,YES,606,195,USA,Credit Card,English,95,4,NO,Expired,1155,Tablet,35-44,Late Night
1354,Levi,24-06-2023,12-07-2024,7.99,36,Sci-Fi,1,6,NO,214,114,India,PayPal,Spanish,39,4.9,NO,Cancelled,1110,Tablet,18-24,Afternoon
4019,Christine,29-12-2023,12-06-2024,15.99,349,Documentary,1,6,YES,334,76,Canada,Credit Card,Mandarin,32,3.3,NO,Paused,1911,Smart TV,55+,Afternoon
6178,Emily,03-01-2023,12-09-2024,11.99,262,Documentary,5,5,YES,849,68,India,Credit Card,French,24,3,NO,Expired,1721,Smartphone,18-24,Morning
8673,Derrick,29-12-2023,12-11-2024,7.99,378,Action,2,3,NO,155,69,UK,Debit Card,Spanish,11,3.3,NO,Active,353,Smart TV,55+,Morning
8250,Jonathan,15-03-2024,29-11-2024,15.99,469,Documentary,3,5,YES,406,71,Australia,Cryptocurrency,French,88,4.8,YES,Cancelled,423,Tablet,35-44,Afternoon
1609,David,13-04-2023,17-12-2024,7.99,87,Horror,4,4,NO,571,54,Canada,Credit Card,German,57,4.2,NO,Paused,344,Smart TV,55+,Morning
3806,Gina,19-02-2023,12-12-2024,15.99,471,Documentary,3,6,YES,56,69,Canada,PayPal,Mandarin,44,3.6,YES,Expired,4117,Tablet,55+,Morning
7973,Kristin,10-01-2024,12-03-2024,7.99,469,Romance,5,2,YES,748,147,France,Cryptocurrency,Hindi,33,4.6,YES,Expired,3983,Smart TV,55+,Evening
7948,Douglas,26-11-2023,23-11-2024,15.99,298,Sci-Fi,4,1,NO,603,161,Germany,PayPal,Spanish,68,4.4,NO,Cancelled,3941,Laptop,35-44,Afternoon
3195,Nicole,13-10-2023,17-12-2024,11.99,331,Action,5,5,NO,990,72,Germany,Debit Card,Spanish,80,3.7,NO,Expired,3085,Smartphone,35-44,Morning
6285,Chloe,31-07-2023,30-11-2024,11.99,238,Documentary,3,6,YES,831,101,USA,PayPal,German,94,4.4,YES,Expired,48,Smart TV,35-44,Evening
4303,David,09-06-2023,17-12-2024,7.99,231,Comedy,1,4,NO,420,85,Germany,Cryptocurrency,Mandarin,30,3.5,NO,Active,1520,Smart TV,55+,Evening
7751,Kevin,07-08-2024,23-11-2024,11.99,457,Sci-Fi,2,5,YES,754,98,Canada,PayPal,Mandarin,53,3.6,YES,Paused,935,Smartphone,55+,Evening
7813,Nicholas,20-07-2024,21-11-2024,15.99,373,Drama,4,4,YES,782,7,India,Cryptocurrency,Spanish,18,3.2,YES,Active,4641,Smart TV,55+,Evening
9028,Terry,12-06-2023,28-11-2024,15.99,11,Action,1,4,NO,557,165,USA,PayPal,French,11,4,YES,Cancelled,2941,Smartphone,25-34,Late Night
6109,Garrett,25-10-2023,12-06-2024,15.99,425,Romance,2,2,YES,552,27,Germany,Cryptocurrency,English,36,4,YES,Paused,1325,Tablet,18-24,Late Night
2565,Jose,15-09-2024,18-12-2024,7.99,231,Comedy,5,4,YES,356,81,Australia,Credit Card,French,73,3.4,NO,Paused,4465,Tablet,55+,Late Night
7551,Courtney,31-12-2023,12-02-2024,15.99,483,Drama,2,4,NO,161,110,USA,Cryptocurrency,French,71,4.4,YES,Active,3517,Smartphone,25-34,Evening
6398,Kim,20-08-2023,12-07-2024,7.99,55,Romance,3,2,YES,17,40,UK,PayPal,Mandarin,48,3.7,NO,Paused,1672,Smart TV,45-54,Late Night
4982,Katherine,19-11-2023,12-12-2024,11.99,375,Drama,4,3,NO,366,13,Canada,PayPal,Hindi,73,4.8,YES,Paused,2164,Tablet,25-34,Afternoon
8108,Lynn,20-10-2024,30-11-2024,11.99,336,Comedy,1,2,NO,758,32,Canada,Cryptocurrency,German,64,5,NO,Expired,3663,Smartphone,18-24,Evening
6779,Leah,22-07-2024,12-03-2024,7.99,196,Romance,1,6,YES,936,152,Australia,PayPal,Mandarin,3,3.1,YES,Cancelled,2845,Smartphone,45-54,Afternoon
1169,Michael,21-08-2024,12-03-2024,11.99,285,Drama,3,1,NO,13,103,Australia,Credit Card,Spanish,11,3.7,NO,Paused,2390,Laptop,18-24,Morning
5067,Kayla,31-08-2024,27-11-2024,7.99,155,Documentary,5,1,YES,305,77,USA,Cryptocurrency,French,66,3.4,NO,Paused,234,Smartphone,55+,Afternoon
5299,Katelyn,30-04-2023,12-02-2024,7.99,275,Comedy,2,2,YES,755,166,Germany,Debit Card,Mandarin,45,3.9,NO,Cancelled,3975,Tablet,35-44,Morning
3978,Jessica,15-05-2024,28-11-2024,7.99,341,Drama,3,4,NO,27,82,USA,Debit Card,German,98,3.7,YES,Active,561,Tablet,45-54,Afternoon
8634,Maria,08-02-2023,13-12-2024,15.99,321,Drama,2,2,NO,676,81,USA,Cryptocurrency,English,65,4.6,NO,Paused,4647,Tablet,55+,Late Night
9635,Justin,18-12-2023,26-11-2024,11.99,456,Comedy,2,5,NO,734,83,India,Debit Card,French,87,3.8,YES,Expired,581,Tablet,35-44,Evening
1776,Susan,22-10-2023,20-11-2024,15.99,15,Comedy,1,4,NO,687,183,France,Cryptocurrency,Hindi,46,4.2,YES,Paused,1250,Desktop,55+,Late Night
9703,Mark,29-02-2024,12-12-2024,11.99,410,Sci-Fi,3,5,NO,826,182,UK,Cryptocurrency,English,69,4.2,NO,Expired,3441,Smartphone,35-44,Evening
3498,Sue,09-11-2023,12-01-2024,15.99,29,Drama,2,4,YES,450,67,India,Credit Card,German,52,3.3,NO,Cancelled,3211,Smartphone,55+,Morning
4260,Jean,24-06-2024,16-12-2024,7.99,427,Horror,1,1,NO,159,98,Germany,Credit Card,Spanish,66,3.3,NO,Cancelled,647,Smartphone,55+,Late Night
7152,James,02-05-2023,12-04-2024,11.99,166,Action,5,3,NO,367,198,India,Debit Card,Hindi,11,4.6,YES,Cancelled,3751,Laptop,35-44,Afternoon
2457,David,21-10-2023,26-11-2024,7.99,192,Comedy,1,1,NO,786,140,Canada,Debit Card,French,95,3.4,NO,Paused,2925,Tablet,25-34,Late Night
8530,Ebony,25-03-2023,12-04-2024,11.99,88,Documentary,1,6,YES,962,183,Australia,Debit Card,English,90,5,NO,Active,4646,Smart TV,55+,Late Night
9131,Derek,08-03-2023,27-11-2024,7.99,127,Sci-Fi,2,5,NO,482,5,India,Cryptocurrency,English,99,3.6,NO,Active,2867,Desktop,25-34,Afternoon
9770,John,28-10-2023,24-11-2024,7.99,327,Romance,4,3,NO,451,108,UK,PayPal,Spanish,91,3.2,YES,Expired,4131,Smart TV,25-34,Evening
8095,Rebecca,15-04-2023,12-11-2024,7.99,10,Action,2,5,YES,22,14,Australia,Debit Card,English,25,4.1,YES,Cancelled,2927,Smart TV,35-44,Evening
3763,Juan,19-12-2022,12-06-2024,11.99,181,Horror,4,2,NO,848,172,India,Cryptocurrency,Mandarin,6,3.4,NO,Expired,3314,Smartphone,55+,Morning
4346,Gabrielle,14-02-2024,12-12-2024,15.99,238,Action,4,2,NO,524,162,USA,Cryptocurrency,German,20,3,YES,Active,1782,Smartphone,45-54,Morning
5866,Nicholas,06-01-2024,26-11-2024,7.99,380,Documentary,2,3,NO,76,25,Germany,PayPal,Hindi,95,4.2,YES,Expired,1938,Laptop,55+,Afternoon
5865,Samantha,23-07-2023,24-11-2024,11.99,444,Sci-Fi,2,3,NO,959,183,Germany,PayPal,Hindi,93,3.8,NO,Active,3935,Smart TV,18-24,Afternoon
9398,Jesse,30-10-2024,12-11-2024,7.99,83,Comedy,3,5,YES,148,154,UK,Credit Card,Hindi,21,3.1,NO,Expired,3206,Smart TV,45-54,Late Night
9695,Aaron,12-08-2023,18-12-2024,7.99,452,Documentary,4,4,NO,338,132,Australia,PayPal,Spanish,63,3.3,NO,Paused,2523,Smartphone,18-24,Late Night
8805,Maurice,07-06-2024,12-06-2024,15.99,53,Romance,4,2,YES,720,37,Australia,PayPal,Spanish,8,4,YES,Active,2727,Laptop,55+,Evening
8353,Lisa,20-06-2023,19-11-2024,15.99,89,Romance,5,3,NO,387,81,Australia,PayPal,English,87,3.8,YES,Active,2864,Tablet,45-54,Late Night
3178,Melissa,19-03-2024,12-11-2024,7.99,359,Horror,5,4,NO,624,107,India,Debit Card,Spanish,4,3.1,YES,Cancelled,3698,Tablet,45-54,Afternoon
4917,Erin,19-02-2023,20-11-2024,11.99,487,Horror,1,4,NO,636,66,Australia,PayPal,French,78,3.5,NO,Paused,1531,Smartphone,45-54,Morning
8878,Dale,29-02-2024,21-11-2024,7.99,337,Comedy,5,1,YES,429,190,Canada,Credit Card,Mandarin,88,4.8,NO,Expired,4884,Smartphone,35-44,Afternoon
3810,Gregory,17-02-2023,12-04-2024,15.99,427,Horror,5,3,NO,832,103,Australia,Cryptocurrency,Mandarin,79,3.3,NO,Paused,3633,Smartphone,25-34,Evening
9353,Sarah,08-06-2023,26-11-2024,7.99,397,Documentary,4,4,YES,63,126,Germany,Debit Card,Mandarin,77,3.9,YES,Cancelled,4719,Smartphone,25-34,Afternoon
1672,Carmen,21-12-2022,28-11-2024,15.99,200,Horror,4,1,NO,52,8,France,Credit Card,French,17,3.2,YES,Cancelled,3161,Smart TV,45-54,Morning
6650,April,03-03-2024,26-11-2024,11.99,464,Drama,2,3,YES,909,165,Germany,Cryptocurrency,Spanish,28,3.6,YES,Active,3607,Desktop,18-24,Evening
2581,Anthony,13-04-2023,12-02-2024,15.99,495,Documentary,1,3,NO,704,53,UK,Credit Card,English,94,3.4,NO,Expired,944,Tablet,55+,Evening
6860,Brett,02-11-2024,16-12-2024,7.99,286,Drama,5,4,NO,751,103,UK,Cryptocurrency,French,33,3.6,NO,Expired,2757,Smart TV,55+,Late Night
4584,Matthew,26-09-2024,14-12-2024,7.99,446,Drama,3,6,NO,185,134,USA,Credit Card,Spanish,18,3.3,NO,Paused,727,Smartphone,45-54,Morning
3354,Lisa,10-01-2023,22-11-2024,11.99,342,Comedy,2,2,NO,503,6,France,PayPal,French,23,3.2,YES,Active,3496,Laptop,45-54,Afternoon
4668,Carly,17-12-2024,12-09-2024,11.99,396,Sci-Fi,5,5,YES,549,35,Canada,PayPal,German,66,3.6,YES,Paused,4293,Laptop,55+,Morning
6684,Dennis,17-09-2024,12-11-2024,11.99,491,Romance,1,6,YES,434,182,Germany,Cryptocurrency,Spanish,24,4.1,NO,Expired,1357,Tablet,45-54,Late Night
8058,Alexandra,04-02-2023,14-12-2024,15.99,239,Sci-Fi,4,6,NO,832,134,Australia,Cryptocurrency,Spanish,99,4.6,YES,Active,3596,Desktop,18-24,Morning
3035,Michael,26-04-2023,24-11-2024,15.99,106,Romance,3,3,YES,377,31,Germany,Credit Card,English,85,3.5,YES,Active,613,Desktop,55+,Late Night
2146,Ryan,07-11-2024,22-11-2024,11.99,388,Horror,5,4,YES,380,125,Australia,PayPal,German,14,3.2,NO,Expired,2381,Tablet,25-34,Afternoon
5761,Tony,20-01-2024,12-08-2024,15.99,452,Drama,2,5,NO,315,118,India,Cryptocurrency,Spanish,28,3,YES,Active,2159,Desktop,45-54,Morning
5256,Daniel,18-11-2024,12-02-2024,15.99,368,Sci-Fi,4,4,YES,968,24,Australia,Debit Card,Mandarin,30,3,YES,Expired,119,Tablet,55+,Late Night
5995,Melissa,17-06-2023,27-11-2024,15.99,325,Action,2,5,YES,757,35,UK,Credit Card,Mandarin,81,4.6,NO,Active,2798,Smartphone,25-34,Late Night
4155,Jacob,03-07-2023,12-06-2024,11.99,42,Sci-Fi,4,2,NO,560,98,France,Debit Card,Mandarin,90,3.8,NO,Paused,496,Laptop,18-24,Afternoon
1851,Jennifer,10-03-2023,12-11-2024,11.99,344,Horror,3,1,NO,456,196,France,Credit Card,Mandarin,83,5,NO,Cancelled,3599,Desktop,45-54,Evening
8068,Carolyn,14-12-2024,23-11-2024,15.99,77,Drama,5,3,NO,780,138,India,Cryptocurrency,French,66,3.4,NO,Active,1752,Tablet,18-24,Afternoon
8425,Patrick,14-11-2024,28-11-2024,7.99,237,Comedy,5,3,YES,168,18,Australia,Cryptocurrency,Mandarin,32,3.5,YES,Expired,3633,Laptop,25-34,Evening
4706,Sabrina,02-08-2023,12-06-2024,11.99,480,Sci-Fi,1,2,YES,350,122,France,PayPal,Spanish,59,4.6,NO,Paused,3568,Desktop,35-44,Late Night
7544,Denise,09-01-2023,25-11-2024,15.99,152,Horror,1,3,NO,341,193,UK,Credit Card,Mandarin,95,3.7,NO,Cancelled,4361,Smartphone,45-54,Afternoon
4029,Cassandra,15-10-2024,24-11-2024,11.99,308,Drama,2,3,NO,392,151,Canada,Debit Card,German,27,4.2,YES,Paused,1176,Smartphone,18-24,Evening
6117,Elizabeth,30-05-2024,27-11-2024,7.99,14,Drama,5,5,YES,95,158,Australia,Credit Card,Hindi,49,3.9,NO,Paused,1849,Tablet,18-24,Evening
1408,Dustin,23-01-2023,20-11-2024,11.99,233,Drama,5,6,YES,186,129,India,Debit Card,Hindi,38,4,YES,Active,3953,Laptop,35-44,Evening
8396,Mary,16-02-2024,12-11-2024,7.99,169,Documentary,1,5,NO,543,111,Germany,PayPal,French,28,3.7,NO,Active,3277,Smart TV,55+,Evening
6806,Crystal,18-12-2023,23-11-2024,7.99,358,Action,2,3,YES,858,65,Germany,Debit Card,Mandarin,5,4.6,YES,Cancelled,1572,Laptop,45-54,Afternoon
3496,Gregory,24-11-2023,12-11-2024,11.99,404,Drama,4,6,NO,906,43,India,PayPal,German,59,4.9,YES,Expired,2676,Tablet,25-34,Morning
7840,Barbara,02-02-2024,12-11-2024,15.99,131,Comedy,5,3,YES,808,48,UK,PayPal,Hindi,55,3.3,YES,Cancelled,3053,Smart TV,55+,Afternoon
2099,Michael,20-07-2024,23-11-2024,11.99,32,Drama,1,6,YES,84,73,Germany,Cryptocurrency,Hindi,59,3.6,YES,Cancelled,2620,Desktop,35-44,Morning
6518,Kathryn,21-11-2024,12-07-2024,7.99,478,Action,5,3,YES,780,78,UK,PayPal,Spanish,66,4,NO,Active,4068,Smart TV,35-44,Morning
1976,Brett,20-10-2024,16-12-2024,11.99,88,Sci-Fi,3,1,NO,247,30,UK,Debit Card,Mandarin,46,4.7,YES,Paused,172,Tablet,25-34,Morning
8777,Christopher,02-11-2024,27-11-2024,11.99,395,Sci-Fi,4,4,NO,190,105,France,Credit Card,German,67,4.1,NO,Cancelled,1040,Smartphone,45-54,Evening
1576,Jeremy,19-03-2023,20-11-2024,11.99,385,Drama,4,1,YES,390,163,Australia,Cryptocurrency,French,43,3.3,NO,Expired,3574,Smart TV,25-34,Afternoon
7979,Martin,05-03-2023,27-11-2024,11.99,280,Sci-Fi,4,5,YES,203,50,France,PayPal,Spanish,12,3.4,YES,Paused,3659,Smartphone,25-34,Morning
6300,Taylor,20-09-2023,12-09-2024,15.99,164,Action,3,5,NO,161,77,Australia,Cryptocurrency,German,97,3.7,YES,Paused,1991,Laptop,45-54,Late Night
1003,Vickie,12-12-2024,22-11-2024,11.99,433,Horror,5,4,NO,350,2,Germany,Cryptocurrency,Spanish,41,3.1,YES,Expired,2043,Smartphone,35-44,Late Night
8238,Betty,01-12-2024,28-11-2024,7.99,460,Comedy,3,5,NO,26,2,France,PayPal,German,39,4.8,NO,Active,882,Smartphone,45-54,Late Night
8261,James,25-12-2022,12-04-2024,7.99,374,Comedy,1,3,YES,819,18,Germany,Debit Card,Hindi,12,3.4,YES,Cancelled,4243,Laptop,25-34,Morning
7729,Brittany,20-02-2023,12-11-2024,11.99,147,Romance,5,4,NO,27,175,Germany,PayPal,Hindi,78,4,YES,Expired,2218,Desktop,45-54,Afternoon
8616,John,12-01-2024,12-04-2024,11.99,129,Horror,4,6,NO,543,126,UK,Debit Card,Mandarin,95,3.4,YES,Expired,97,Smartphone,35-44,Late Night
9734,Destiny,24-11-2024,14-12-2024,15.99,217,Action,2,2,YES,872,8,Canada,Cryptocurrency,French,51,3.6,YES,Active,4928,Laptop,35-44,Late Night
2086,Amanda,05-12-2023,19-11-2024,7.99,426,Drama,4,1,NO,606,135,USA,PayPal,German,50,3.8,YES,Expired,1982,Desktop,55+,Late Night
8721,Stephen,23-02-2023,12-01-2024,15.99,81,Drama,3,5,NO,394,168,Canada,Cryptocurrency,Mandarin,21,4.7,YES,Expired,510,Smart TV,18-24,Late Night
1075,Dawn,05-05-2023,28-11-2024,7.99,296,Romance,3,2,YES,411,96,USA,Cryptocurrency,English,1,3.1,NO,Active,2508,Tablet,18-24,Evening
